,1 AV/E 67 ST,1 AV/E 11 ST,1 AV/E 57 ST,1 AV/E 70 ST,1 AV/E 45 ST,2 AV/E 3 ST,1 AV/E 75 ST,1 AV/ST MARKS PL,2 AV/E 6 ST,WATER ST/BROAD ST,SOUTH ST/WHITEHALL ST,2 AV/E 17 ST,2 AV/E 72 ST,2 AV/E 42 ST,1 AV/E 25 ST,2 AV/E 96 ST,PIKE ST/CHERRY ST,PEARL ST/PECK SLIP,1 AV/E 79 ST,2 AV/E 70 ST,2 AV/E 23 ST,1 AV/E 113 ST,2 AV/E 113 ST,ALLEN ST/HESTER ST,1 AV/E 52 ST,2 AV/E 122 ST,PEARL ST / PEARL ST,1 AV/E 108 ST,2 AV/E 9 ST,1 AV/E 34 ST,2 AV/E 75 ST,2 AV/E 82 ST,2 AV/E 101 ST,ALLEN ST/STANTON ST,2 AV/E 20 ST,1 AV/E 39 ST,1 AV/E 2 ST,2 AV/E 97 ST,2 AV/E 31 ST,ALLEN ST/GRAND ST,2 AV/E 54 ST,1 AV/E 93 ST,2 AV/E 66 ST,1 AV/E 17 ST,E 126 ST/2 AV,2 AV/E 87 ST,2 AV/E 92 ST,1 AV/E 55 ST,1 AV/ E 97 ST,2 AV/E 12 ST,1 AV/MITCHELL PL,PEARL ST/FRANKFORT ST,1 AV/E 111 ST,1 AV/E 86 ST,2 AV/E 116 ST,1 AV/E 31 ST,2 AV/E 46 ST,2 AV/E 94 ST,MADISON ST/OLIVER ST,MADISON ST/MARKET ST,1 AV/E 28 ST,1 AV/E 120 ST,2 AV/E 125 ST,WATER ST/GOUVERNEUR LA,WATER ST/WALL ST,1 AV/E 23 ST,2 AV/E 106 ST,2 AV/E 39 ST,1 AV/E 102 ST,1 AV/E 42 ST,1 AV/E 99 ST,2 AV/E 28 ST,2 AV/E 36 ST,WATER ST/HANOVER SQ,2 AV/E 89 ST,2 AV/E 119 ST,1 AV/E 125 ST,1 AV/E 116 ST,2 AV/E 14 ST,1 AV/E 14 ST,2 AV/E 64 ST,PIKE ST/MADISON ST,1 AV/E 60 ST,2 AV/E 34 ST,1 AV/E 36 ST,MADISON ST/CATHERINE ST,2 AV/E 103 ST,1 AV/E 89 ST,1 AV / 4 ST,1 AV/E 106 ST,BROAD ST/WATER ST,ST JAMES PL/R F WAGNER SR PL,E HOUSTON ST/FORSYTH ST,1 AV/E 20 ST,2 AV/E 108 ST,2 AV/E 111 ST,1 AV/E 27 ST,2 AV/E 50 ST,ALLEN ST/CANAL ST,1 AV/E 62 ST,PEARL ST/FULTON ST,1 AV/PALADINO AV,WATER ST/JOHN ST,MADISON ST/ST JAMES PL,2 AV/E 25 ST,1 AV/E 82 ST,1 AV/E 77 ST,2 AV/E 78 ST,2 AV/E 61 ST,1 AV/E 64 ST,2 AV/E 84 ST,2 AV/E 68 ST,ALLEN ST/DELANCEY ST,PIKE ST/DIVISION ST,1 AV/E 72 ST,2 AV/E 57 ST,ALLEN ST/E HOUSTON ST,WATER ST/OLD SLIP,Michael J. Quill Depot (MQ)
SOUTH ST/WHITEHALL ST,,,,,,,,,,0.238 EAST HARLEM 125 ST via 1 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 AV/E 17 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.244 SOUTH FERRY via 2 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 AV/E 72 ST,,,,,,,,,,,,,,,,,,,,0.222 SOUTH FERRY via 2 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 AV/E 42 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.286 SOUTH FERRY via 2 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 AV/E 25 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.156 EAST HARLEM 125 ST via 1 AV,,,,,,,,,,,,,,,,,,,,,,
2 AV/E 96 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19 SOUTH FERRY via 2 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIKE ST/CHERRY ST,,,,,,,,,,,2.128 SOUTH FERRY via 2 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.362 EAST HARLEM 125 ST via 1 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEARL ST/PECK SLIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.247 EAST HARLEM 125 ST via 1 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 AV/E 79 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.254 EAST HARLEM 125 ST via 1 AV,,,,,,,,,,,,,
2 AV/E 70 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.737 SOUTH FERRY via 2 AV,,,,,,,
2 AV/E 23 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.238 SOUTH FERRY via 2 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 AV/E 113 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.253 EAST HARLEM 125 ST via 1 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 AV/E 113 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.233 SOUTH FERRY via 2 AV,,,,,,,,,,,,,,,,,,,,,,,
ALLEN ST/HESTER ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.134 SOUTH FERRY via 2 AV,,,,,,,,,,,,,,,,,,,,
1 AV/E 52 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.603 EAST HARLEM 125 ST via 1 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 AV/E 122 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24 SOUTH FERRY via 2 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEARL ST / PEARL ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.602 SOUTH FERRY via 2 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 AV/E 108 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.179 EAST HARLEM 125 ST via 1 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 AV/E 9 ST,,,,,,,,,0.226 SOUTH FERRY via 2 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 AV/E 34 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.203 EAST HARLEM 125 ST via 1 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 AV/E 75 ST,,,,,,,,,,,,,0.272 SOUTH FERRY via 2 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 AV/E 82 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.255 SOUTH FERRY via 2 AV,,,,,,,,,,,
2 AV/E 101 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.307 SOUTH FERRY via 2 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALLEN ST/STANTON ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.277 EAST HARLEM 125 ST via 1 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 AV/E 20 ST,,,,,,,,,,,,0.223 SOUTH FERRY via 2 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 AV/E 39 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.189 EAST HARLEM 125 ST via 1 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 AV/E 2 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.209 EAST HARLEM 125 ST via 1 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 AV/E 97 ST,,,,,,,,,,,,,,,,0.122 SOUTH FERRY via 2 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 AV/E 31 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.763 SOUTH FERRY via 2 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALLEN ST/GRAND ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21 EAST HARLEM 125 ST via 1 AV,,,,,,
2 AV/E 54 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.295 SOUTH FERRY via 2 AV,,,,,,,,,,,,,,,,,,,,,
1 AV/E 93 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.864 EAST HARLEM 125 ST via 1 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 AV/E 66 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.127 SOUTH FERRY via 2 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 AV/E 17 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.224 EAST HARLEM 125 ST via 1 AV,,,,,,,,,,,,,,,,,,,,,,,,,
E 126 ST/2 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125 SOUTH FERRY via 2 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 AV/E 87 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26 SOUTH FERRY via 2 AV,,,,,,,,
2 AV/E 92 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.232 SOUTH FERRY via 2 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 AV/E 55 ST,,,0.18 EAST HARLEM 125 ST via 1 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 AV/ E 97 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.243 EAST HARLEM 125 ST via 1 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 AV/E 12 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.233 SOUTH FERRY via 2 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 AV/MITCHELL PL,,,,,,,,,,,,,,,,,,,,,,,,,0.243 EAST HARLEM 125 ST via 1 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEARL ST/FRANKFORT ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.355 SOUTH FERRY via 2 AV,,,,,,,,,,,,,,,,,,
1 AV/E 111 ST,,,,,,,,,,,,,,,,,,,,,,0.157 EAST HARLEM 125 ST via 1 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 AV/E 86 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.305 EAST HARLEM 125 ST via 1 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 AV/E 116 ST,,,,,,,,,,,,,,,,,,,,,,,0.241 SOUTH FERRY via 2 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 AV/E 31 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.209 EAST HARLEM 125 ST via 1 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 AV/E 46 ST,,,,,,,,,,,,,,0.338 SOUTH FERRY via 2 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 AV/E 94 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.153 SOUTH FERRY via 2 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MADISON ST/OLIVER ST,,,,,,,,,,,,,,,,,0.618 EAST HARLEM 125 ST via 1 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MADISON ST/MARKET ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.176 EAST HARLEM 125 ST via 1 AV,,,,0.219 SOUTH FERRY via 2 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 AV/E 28 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2 EAST HARLEM 125 ST via 1 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 AV/E 120 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.225 EAST HARLEM 125 ST via 1 AV,,,,,,,,,,,,,,,,,
2 AV/E 125 ST,,,,,,,,,,,,,,,,,,,,,,,,,,0.242 SOUTH FERRY via 2 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WATER ST/GOUVERNEUR LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.173 SOUTH FERRY via 2 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WATER ST/WALL ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.427 EAST HARLEM 125 ST via 1 AV,,,,,,,,,,,,,,,,,,
1 AV/E 23 ST,,,,,,,,,,,,,,,0.163 EAST HARLEM 125 ST via 1 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 AV/E 106 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.305 SOUTH FERRY via 2 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 AV/E 39 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18 SOUTH FERRY via 2 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 AV/E 102 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.316 EAST HARLEM 125 ST via 1 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 AV/E 42 ST,,,,,0.252 EAST HARLEM 125 ST via 1 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.191 to depot of M15
1 AV/E 99 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.247 EAST HARLEM 125 ST via 1 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
