,3 AV/E 14 ST,AMSTERDAM AV/W 148 ST,W 125 ST/AMSTERDAM AV,3 AV/E 75 ST,AMSTERDAM AV/W 135 ST,3 AV/E 53 ST,LEXINGTON AV/E 45 ST,AMSTERDAM AV/W 178 ST,3 AV/E 47 ST,3 AV/E 86 ST,3 AV/E 21 ST,LEXINGTON AV/E 89 ST,3 AV/E 29 ST,AMSTERDAM AV/W 190 ST,LEXINGTON AV/E 70 ST,AMSTERDAM AV/W 176 ST,3 AV/E 112 ST,3 AV/E 67 ST,AMSTERDAM AV/W 129 ST,AMSTERDAM AV/W 172 ST,3 AV/E 37 ST,AMSTERDAM AV/W 171 ST,LEXINGTON AV/E 34 ST,W 125 ST/FRED DOUGLASS BL,LEXINGTON AV/E 124 ST,LEXINGTON AV/E 28 ST,3 AV/E 65 ST,3 AV/E 104 ST,LEXINGTON AV/E 86 ST,LEXINGTON AV/E 94 ST,ST NICHOLAS AV/W 192 ST,LEXINGTON AV/E 96 ST,E 125 ST/LEXINGTON AV,3 AV/E 102 ST,AMSTERDAM AV/W 173 ST,W 125 ST/ADAM C POWELL BL,AMSTERDAM AV/W 149 ST,LEXINGTON AV/E 119 ST,3 AV/E 57 ST,LEXINGTON AV/E 104 ST,AMSTERDAM AV/W 145 ST,3 AV/E 82 ST,LEXINGTON AV/E 102 ST,AMSTERDAM AV/W 131 ST,AMSTERDAM AV/W 168 ST,LEXINGTON AV/E 40 ST,3 AV/E 77 ST,3 AV/E 93 ST,AMSTERDAM AV/W 181 ST,3 AV/E 50 ST,W 125 ST/MALCOLM X  BL,LEXINGTON AV/E 62 ST,3 AV/E 97 ST,3 AV/E 11 ST,LEXINGTON AV/E 98 ST,3 AV/E 69 ST,LEXINGTON AV/E 74 ST,AMSTERDAM AV/W 152 ST,E 125 ST/PARK AV,LEXINGTON AV/E 64 ST,3 AV/E 23 ST,3 AV/E 118 ST,E 125 ST/5 AV,3 AV/E 45 ST,W 125 ST/MORNINGSIDE AV,LEXINGTON AV/E 77 ST,LEXINGTON AV/E 56 ST,3 AV/E 109 ST,AMSTERDAM AV/W 164 ST,LEXINGTON AV/E 31 ST,LEXINGTON AV/E 49 ST,W 125 ST/MALCOLM X BL,3 AV/E 33 ST,LEXINGTON AV/E 116 ST,AMSTERDAM AV/W 167 ST,LEXINGTON AV/E 122 ST,3 AV/E 31 ST,LEXINGTON AV/E 110 ST,W 125 ST/ST NICHOLAS AV,3 AV/E 39 ST,AMSTERDAM AV/W 156 ST,AMSTERDAM AV/W 126 ST,AMSTERDAM AV/W 184 ST,3 AV/E 72 ST,LEXINGTON AV/E 72 ST,3 AV/E 106 ST,3 AV/E 79 ST,AMSTERDAM AV/W 183 ST,AMSTERDAM AV/W 155 ST,AMSTERDAM AV/W 165 ST,LEXINGTON AV/E 50 ST,LEXINGTON AV/E 47 ST,ASTOR PL/3 AV,EAST 24 ST/LEXINGTON AV,3 AV/E 20 ST,E 125 ST/3 AV,LEXINGTON AV/E 92 ST,AMSTERDAM AV/W 185 ST,LEXINGTON AV/E 83 ST,LEXINGTON AV/E 114 ST,LEXINGTON AV/E 68 ST,AMSTERDAM AV/W 170 ST,LEXINGTON AV/E 59 ST,3 AV/E 116 ST,AMSTERDAM AV/W 175 ST,AMSTERDAM AV/W 188 ST,3 AV/E 26 ST,AMSTERDAM AV/W 161 ST,3 AV/E 91 ST,3 AV/ASTOR PL,AMSTERDAM AV/W 158 ST,LEXINGTON AV/E 79 ST,LEXINGTON AV/E 100 ST,LEXINGTON AV/E 42 ST,3 AV/E 42 ST,LEXINGTON AV/E 52 ST,AMSTERDAM AV/W 143 ST,3 AV/E 17 ST,AMSTERDAM AV/W 138 ST,3 AV/E 99 ST,AMSTERDAM AV/W 179 ST,3 AV/E 122 ST,LEXINGTON AV/E 37 ST,AMSTERDAM AV/W 150 ST,3 AV/E 63 ST,AMSTERDAM AV/W 133 ST,LEXINGTON AV/E 26 ST,W 125 ST/5 AV,3 AV/E 60 ST,LEXINGTON AV/E 106 ST,3 AV/E 9 ST,3 AV/E 88 ST,AMSTERDAM AV/W 187 ST,E 125 ST/MADISON AV,AMSTERDAM AV/193 ST,AMSTERDAM AV/W 140 ST,Michael J. Quill Depot (MQ)
LEXINGTON AV/E 89 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.251 LIMITED EAST VILLAGE 6 ST via LEX AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/E 29 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11 LIMITED FT GEORGE 193 ST via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMSTERDAM AV/W 190 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.188 LIMITED EAST VILLAGE 6 ST via LEX AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.255 LIMITED FT GEORGE 193 ST via 3 AV,,
LEXINGTON AV/E 70 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.205 LIMITED EAST VILLAGE 6 ST via LEX AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMSTERDAM AV/W 176 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.205 LIMITED FT GEORGE 193 ST via 3 AV,,,,,,,,,,,,,,,,
3 AV/E 112 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.257 LIMITED FT GEORGE 193 ST via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/E 67 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.69 LIMITED FT GEORGE 193 ST via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMSTERDAM AV/W 129 ST,,,0.185 LIMITED EAST VILLAGE 6 ST via LEX AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.194 LIMITED FT GEORGE 193 ST via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMSTERDAM AV/W 172 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.177 LIMITED EAST VILLAGE 6 ST via LEX AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/E 37 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.225 LIMITED FT GEORGE 193 ST via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMSTERDAM AV/W 171 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.162 LIMITED FT GEORGE 193 ST via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEXINGTON AV/E 34 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.294 LIMITED EAST VILLAGE 6 ST via LEX AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 125 ST/FRED DOUGLASS BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.281 LIMITED EAST VILLAGE 6 ST via LEX AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.139 LIMITED FT GEORGE 193 ST via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEXINGTON AV/E 124 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.227 LIMITED EAST VILLAGE 6 ST via LEX AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEXINGTON AV/E 28 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.115 LIMITED EAST VILLAGE 6 ST via LEX AV,,,,,,,,,,
3 AV/E 65 ST,,,,,,,,,,,,,,,,,,0.124 LIMITED FT GEORGE 193 ST via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/E 104 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.161 LIMITED FT GEORGE 193 ST via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEXINGTON AV/E 86 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.242 LIMITED EAST VILLAGE 6 ST via LEX AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEXINGTON AV/E 94 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.164 LIMITED EAST VILLAGE 6 ST via LEX AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST NICHOLAS AV/W 192 ST,,,,,,,,,,,,,,0.945 LIMITED EAST VILLAGE 6 ST via LEX AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEXINGTON AV/E 96 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.183 LIMITED EAST VILLAGE 6 ST via LEX AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 125 ST/LEXINGTON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.142 LIMITED FT GEORGE 193 ST via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/E 102 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.161 LIMITED FT GEORGE 193 ST via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMSTERDAM AV/W 173 ST,,,,,,,,,,,,,,,,0.259 LIMITED FT GEORGE 193 ST via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 125 ST/ADAM C POWELL BL,,,,,,,,,,,,,,,,,,,,,,,,0.281 LIMITED FT GEORGE 193 ST via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,0.308 LIMITED EAST VILLAGE 6 ST via LEX AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMSTERDAM AV/W 149 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.261 LIMITED FT GEORGE 193 ST via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEXINGTON AV/E 119 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21 LIMITED EAST VILLAGE 6 ST via LEX AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/E 57 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.243 LIMITED FT GEORGE 193 ST via 3 AV,,,,,,,,
LEXINGTON AV/E 104 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.152 LIMITED EAST VILLAGE 6 ST via LEX AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMSTERDAM AV/W 145 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.348 LIMITED FT GEORGE 193 ST via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.191 LIMITED EAST VILLAGE 6 ST via LEX AV,,,,,,,,,,,,,,,,,,,,
3 AV/E 82 ST,,,,,,,,,,0.254 LIMITED FT GEORGE 193 ST via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEXINGTON AV/E 102 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.117 LIMITED EAST VILLAGE 6 ST via LEX AV,,,,,,,,,,,,,,,,,,,,,,,,
AMSTERDAM AV/W 131 ST,,,,,,,,,,,,,,,,,,,0.194 LIMITED EAST VILLAGE 6 ST via LEX AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.197 LIMITED FT GEORGE 193 ST via 3 AV,,,,,,,,,,,
AMSTERDAM AV/W 168 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.198 LIMITED EAST VILLAGE 6 ST via LEX AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEXINGTON AV/E 40 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.179 LIMITED EAST VILLAGE 6 ST via LEX AV,,,,,,,,,,,,,,
3 AV/E 77 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.164 LIMITED FT GEORGE 193 ST via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/E 93 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.264 LIMITED FT GEORGE 193 ST via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMSTERDAM AV/W 181 ST,,,,,,,,0.508 LIMITED EAST VILLAGE 6 ST via LEX AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.432 LIMITED FT GEORGE 193 ST via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/E 50 ST,,,,,,0.28 LIMITED FT GEORGE 193 ST via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 125 ST/MALCOLM X  BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.269 LIMITED EAST VILLAGE 6 ST via LEX AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEXINGTON AV/E 62 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.186 LIMITED EAST VILLAGE 6 ST via LEX AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
