,COLUMBUS CIR/8 AV,AV OF THE AMERICAS/W 23 ST,BROADWAY/W 63 ST,MANHATTAN AV/CATHEDRAL PY,7 AV/W 34 ST,7 AV/W 20 ST,COLUMBUS AV/W 84 ST,7 AV/W 39 ST,W 147 ST/MALCOLM X BL,AV OF THE AMERICAS/W 14 ST,W 116 ST/ADAM C POWELL BL,COLUMBUS AV/W 94 ST,COLUMBUS AV/W 78 ST,COLUMBUS AV/W 80 ST,AV OF THE AMERICAS/W 34 ST,MALCOLM X BL/W 135 ST,7 AV/W 17 ST,CENTRAL PK S/6 AV,W 106 ST/COLUMBUS AV,CENTRAL PK S/COLUMBUS CI,W 146 ST/MALCOLM X BL,AV OF THE AMERICAS/W 47 ST,W 116 ST/MALCOLM X BL,COLUMBUS AV/W 106 ST,W 14 ST/7 AV,MALCOLM X BL/W 125 ST,W 116 ST/FRED DOUGLASS BL,BROADWAY/W 61 ST,COLUMBUS AV/W 69 ST,MALCOLM X BL/W 132 ST,AMSTERDAM AV/W 89 ST,COLUMBUS AV/W 102 ST,146 ST/LENOX AV,AV OF THE AMERICAS/W 18 ST,MALCOLM X BL/W 127 ST,BROADWAY/W 64 ST,7 AV/W 28 ST,AMSTERDAM AV/W 81 ST,W 116 ST/ST NICHOLAS AV,MANHATTAN AV/W 108 ST,AV OF THE AMERICAS/W 50 ST,MALCOLM X B / W 119 ST,7 AV/W 23 ST,COLUMBUS AV/W 89 ST,AMSTERDAM AV/W 75 ST,7 AV/W 41 ST,AV OF THE AMERICAS/W 51 ST,7 AV/W 54 ST,CENTRAL PK S/7 AV,AMSTERDAM AV/W 100 ST,MALCOLM X BL/W 122 ST,W 147 ST/ADAM C POWELL BL,MALCOLM X BL/W 139 ST,7 AV/W 37 ST,7 AV/W 25 ST,AMSTERDAM AV/W 86 ST,7 AV/W 50 ST,MANHATTAN AV/W 113 ST,COLUMBUS AV/W 100 ST,AMSTERDAM AV/W 79 ST,7 AV/W 53 ST,AMSTERDAM AV/W 102 ST,AMSTERDAM AV/W 96 ST,MALCOLM X BL/W 142 ST,AV OF THE AMERICAS/W 54 ST,AV OF THE AMERICAS/W 29 ST,COLUMBUS AV/W 92 ST,AMSTERDAM AV/W 98 ST,AV OF THE AMERICAS/W 57 ST,AMSTERDAM AV/W 104 ST,MANHATTAN AV/W 111 ST,BROADWAY/W 66 ST,AV OF THE AMERICAS/W 27 ST,MALCOLM X BL / W 116 ST,MANHATTAN AV/W 114 ST,7 AV/W 31 ST,COLUMBUS AV/W 97 ST,COLUMBUS AV/W 86 ST,AV OF THE AMERICAS/W 15 ST,COLUMBUS AV/W 66 ST,W 106 ST/AMSTERDAM AV,MALCOLM X BL/W 145 ST,AV OF THE AMERICAS/W 42 ST,AV OF THE AMERICAS/W 40 ST,MALCOLM X BL/W 137 ST,AV OF THE AMERICAS/W 20 ST,MALCOLM X BL/W 124 ST,MANHATTAN AV/W 116 ST,AV OF THE AMERICAS/W 45 ST,AMSTERDAM AV/W 77 ST,MALCOLM X BL/W 119 ST,COLUMBUS AV/W 75 ST,MANHATTAN AV/W 112 ST,AV OF THE AMERICAS/W 38 ST,AMSTERDAM AV/W 83 ST,MALCOLM X BL/W 129 ST,AMSTERDAM AV/W 93 ST,7 AV/W 57 ST,AMSTERDAM AV/W 72 ST,AV OF THE AMERICAS/W 31 ST,COLUMBUS AV/W 72 ST,MANHATTAN AV/W 109 ST,MANHATTAN AV/W 106 ST,AMSTERDAM AV/W 91 ST,BROADWAY/W 69 ST,Michael J. Quill Depot (MQ)
COLUMBUS AV/W 78 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.202 14 ST via COLUMBUS via 7 AV,,,,,,,,,,,,,,
COLUMBUS AV/W 80 ST,,,,,,,,,,,,,0.214 14 ST via COLUMBUS via 7 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AV OF THE AMERICAS/W 34 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.318 HARLEM 147 ST via 6 AV via AMSTERDAM,,,,,,,,,,,,
MALCOLM X BL/W 135 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.263 14 ST via COLUMBUS via 7 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.172 HARLEM 147 ST via 6 AV via AMSTERDAM,,,,,,,,,,,,,,,,,,,,,
7 AV/W 17 ST,,,,,,,,,,,,,,,,,,,,,,,,,0.244 14 ST via COLUMBUS via 7 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL PK S/6 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.291 HARLEM 147 ST via 6 AV via AMSTERDAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 106 ST/COLUMBUS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.145 HARLEM 147 ST via 6 AV via AMSTERDAM,,,
CENTRAL PK S/COLUMBUS CI,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.459 HARLEM 147 ST via 6 AV via AMSTERDAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.621 14 ST via COLUMBUS via 7 AV,,,,,,,,
W 146 ST/MALCOLM X BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.439 14 ST via COLUMBUS via 7 AV,,,,,,,,,,,,,,,,,,,,,,,,
AV OF THE AMERICAS/W 47 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.239 HARLEM 147 ST via 6 AV via AMSTERDAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 116 ST/MALCOLM X BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.359 14 ST via COLUMBUS via 7 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLUMBUS AV/W 106 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.341 14 ST via COLUMBUS via 7 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 14 ST/7 AV,,,,,,,,,,0.274 14 ST via COLUMBUS via 7 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MALCOLM X BL/W 125 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.937 HARLEM 147 ST via 6 AV via AMSTERDAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 116 ST/FRED DOUGLASS BL,,,,,,,,,,,0.281 HARLEM 147 ST via 6 AV via AMSTERDAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.141 14 ST via COLUMBUS via 7 AV,,,,,,,,,,,,,,,,,,
BROADWAY/W 61 ST,0.242 14 ST via COLUMBUS via 7 AV,,0.202 HARLEM 147 ST via 6 AV via AMSTERDAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLUMBUS AV/W 69 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.932 14 ST via COLUMBUS via 7 AV,,,,,,,,,,,,,,,,,,,,,,,,,,
MALCOLM X BL/W 132 ST,,,,,,,,,,,,,,,,0.25 HARLEM 147 ST via 6 AV via AMSTERDAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.862 14 ST via COLUMBUS via 7 AV,,,,,,,,,,
AMSTERDAM AV/W 89 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.167 HARLEM 147 ST via 6 AV via AMSTERDAM,,
COLUMBUS AV/W 102 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.159 14 ST via COLUMBUS via 7 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146 ST/LENOX AV,,,,,,,,,,,,,,,,,,,,,0.0 14 ST via COLUMBUS via 7 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AV OF THE AMERICAS/W 18 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15 HARLEM 147 ST via 6 AV via AMSTERDAM,,,,,,,,,,,,,,,,,,,,
MALCOLM X BL/W 127 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.257 14 ST via COLUMBUS via 7 AV,,,,,,,,,0.702 HARLEM 147 ST via 6 AV via AMSTERDAM,,,,,,,,,,
BROADWAY/W 64 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.246 14 ST via COLUMBUS via 7 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 AV/W 28 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.209 14 ST via COLUMBUS via 7 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMSTERDAM AV/W 81 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.132 HARLEM 147 ST via 6 AV via AMSTERDAM,,,,,,,,,,,
W 116 ST/ST NICHOLAS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,0.246 14 ST via COLUMBUS via 7 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANHATTAN AV/W 108 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.161 14 ST via COLUMBUS via 7 AV,,,
AV OF THE AMERICAS/W 50 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.079 HARLEM 147 ST via 6 AV via AMSTERDAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MALCOLM X B / W 119 ST,,,,,,,,,,,,,,,,,,,,,,,0.277 14 ST via COLUMBUS via 7 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 AV/W 23 ST,,,,,,0.239 14 ST via COLUMBUS via 7 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLUMBUS AV/W 89 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.215 14 ST via COLUMBUS via 7 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMSTERDAM AV/W 75 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.192 HARLEM 147 ST via 6 AV via AMSTERDAM,,,,,,,,,,,,,,,,
7 AV/W 41 ST,,,,,,,,0.212 14 ST via COLUMBUS via 7 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.508 to depot of M7
AV OF THE AMERICAS/W 51 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.274 HARLEM 147 ST via 6 AV via AMSTERDAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 AV/W 54 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.121 14 ST via COLUMBUS via 7 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL PK S/7 AV,,,,,,,,,,,,,,,,,,,,0.602 HARLEM 147 ST via 6 AV via AMSTERDAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMSTERDAM AV/W 100 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.151 HARLEM 147 ST via 6 AV via AMSTERDAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MALCOLM X BL/W 122 ST,,,,,,,,,,,,,,,,,,,,,,,,,,0.26 HARLEM 147 ST via 6 AV via AMSTERDAM,,,,,,,,,,,,,,,,0.273 14 ST via COLUMBUS via 7 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 147 ST/ADAM C POWELL BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.369 HARLEM 147 ST via 6 AV via AMSTERDAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MALCOLM X BL/W 139 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.249 HARLEM 147 ST via 6 AV via AMSTERDAM,,,,,,,,,,,,,,,,,,,,,0.17 14 ST via COLUMBUS via 7 AV,,,,,,,,,,,,,,,,,,,,,
7 AV/W 37 ST,,,,,0.292 14 ST via COLUMBUS via 7 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 AV/W 25 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.163 14 ST via COLUMBUS via 7 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMSTERDAM AV/W 86 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.228 HARLEM 147 ST via 6 AV via AMSTERDAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 AV/W 50 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.707 14 ST via COLUMBUS via 7 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANHATTAN AV/W 113 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.246 HARLEM 147 ST via 6 AV via AMSTERDAM,,,,,,,,,,,,,,,,,,
COLUMBUS AV/W 100 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.286 14 ST via COLUMBUS via 7 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMSTERDAM AV/W 79 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.211 HARLEM 147 ST via 6 AV via AMSTERDAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 AV/W 53 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.208 14 ST via COLUMBUS via 7 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMSTERDAM AV/W 102 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.164 HARLEM 147 ST via 6 AV via AMSTERDAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMSTERDAM AV/W 96 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.199 HARLEM 147 ST via 6 AV via AMSTERDAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MALCOLM X BL/W 142 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.848 14 ST via COLUMBUS via 7 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.248 HARLEM 147 ST via 6 AV via AMSTERDAM,,,,,,,,,,,,,,,,,,,,,,,,
AV OF THE AMERICAS/W 54 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21 HARLEM 147 ST via 6 AV via AMSTERDAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AV OF THE AMERICAS/W 29 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17 HARLEM 147 ST via 6 AV via AMSTERDAM,,,,,,
COLUMBUS AV/W 92 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.231 14 ST via COLUMBUS via 7 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMSTERDAM AV/W 98 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.168 HARLEM 147 ST via 6 AV via AMSTERDAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
