Route,Direction,Stop 1,Stop 2,Stop 3,Stop 4,Stop 5,Stop 6,Stop 7,Stop 8,Stop 9,Stop 10,Stop 11,Stop 12,Stop 13,Stop 14,Stop 15,Stop 16,Stop 17,Stop 18,Stop 19,Stop 20,Stop 21,Stop 22,Stop 23,Stop 24,Stop 25,Stop 26,Stop 27,Stop 28,Stop 29,Stop 30,Stop 31,Stop 32,Stop 33,Stop 34,Stop 35,Stop 36,Stop 37,Stop 38,Stop 39,Stop 40,Stop 41,Stop 42,Stop 43,Stop 44,Stop 45,Stop 46,Stop 47,Stop 48,Stop 49,Stop 50,Stop 51,Stop 52,Stop 53,Stop 54,Stop 55,Stop 56,Stop 57,Stop 58,Stop 59,Stop 60,Stop 61,Stop 62,Stop 63,Stop 64,Stop 65,Stop 66,Stop 67,Stop 68,Stop 69,Stop 70,Stop 71,Stop 72,Stop 73,Stop 74,Stop 75,Stop 76,Stop 77,Stop 78,Stop 79,Stop 80,Stop 81,Stop 82,Stop 83,Stop 84,Stop 85,Stop 86,Stop 87,Stop 88,Stop 89,Stop 90,Stop 91,Stop 92,Stop 93,Stop 94,Stop 95,Stop 96,Stop 97,Stop 98,Stop 99,Stop 100,Stop 101,Stop 102,Stop 103,Stop 104,Stop 105,Stop 106,Stop 107,Stop 108,Stop 109,Stop 110,Stop 111,Stop 112,Stop 113,Stop 114,Stop 115,Stop 116,Stop 117
Bx1,MOTT HAVEN 138 ST via CONCOURSE,RIVERDALE AV/W 231 ST,W 231 ST/CORLEAR AV,W 231 ST/BROADWAY,W 231 ST/BAILEY AV,HEATH AV/ALBANY CRES,HEATH AV/SUMMIT PL,SEDGWICK AV/FT INDEPENDENCE ST,SEDGWICK AV/GILES PL,SEDGWICK AV/STEVENSON PL 1,SEDGWICK AV/STEVENSON PL 2,SEDGWICK AV/DICKINSON AV,W MOSHOLU PY S/PAUL AV,W MOSHOLU PY S/JEROME AV,GRAND CONCOURSE/VAN CORTLANDT AV E,GRAND CONCOURSE/E 204 ST,GRAND CONCOURSE/BEDFORD PK BL,GRAND CONCOURSE/MINERVA PL,GRAND CONCOURSE/E 196 ST,GRAND CONCOURSE/E KINGSBRIDGE RD,GRAND CONCOURSE/E 192 ST,GRAND CONCOURSE/E FORDHAM RD,GRAND CONCOURSE/E 187 ST,GRAND CONCOURSE/FIELD PL,GRAND CONCOURSE/E 182 ST,GRAND CONCOURSE/E 181 ST,GRAND CONCOURSE/E BURNSIDE AV,GRAND CONCOURSE/E 179 ST,GRAND CONCOURSE/E 177 ST,GRAND CONCOURSE/MORRIS AV,GRAND CONCOURSE/E 174 ST,GRAND CONCOURSE/E MT EDEN AV,GRAND CONCOURSE/E 172 ST,GRAND CONCOURSE/E 170 ST,GRAND CONCOURSE/E CLARKE PL,GRAND CONCOURSE/E 167 ST,GRAND CONCOURSE/MC CLELLAN ST,GRAND CONCOURSE/E 165 ST,GRAND CONCOURSE/E 163 ST,GRAND CONCOURSE/E 161 ST,GRAND CONCOURSE/E 158 ST,GRAND CONCOURSE/E 156 ST,GRAND CONCOURSE/E 153 ST,GRAND CONCOURSE/E 149 ST,GRAND CONCOURSE/E 144 ST,GRAND CONCOURSE/E 138 ST,3 AV/E 138 ST,E 136 ST/LINCOLN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bx1,RIVERDALE 231 ST via CONCOURSE,LINCOLN AV/E 137 ST,GRAND CONCOURSE/E 138 ST,GRAND CONCOURSE/E 144 ST,GRAND CONCOURSE/E 149 ST,GRAND CONCOURSE/E 153 ST,GRAND CONCOURSE/E 156 ST,GRAND CONCOURSE/E 161 ST,GRAND CONCOURSE/E 163 ST,GRAND CONCOURSE/E 165 ST,GRAND CONCOURSE/MC CLELLAN ST,GRAND CONCOURSE/E 167 ST,GRAND CONCOURSE/E 169 ST,GRAND CONCOURSE/E 170 ST,GRAND CONCOURSE/E 172 ST,GRAND CONCOURSE/MT EDEN AV,GRAND CONCOURSE/CROSS BX EXP OVERPASS,GRAND CONCOURSE/E 175 ST,GRAND CONCOURSE/E TREMONT AV,GRAND CONCOURSE/E 179 ST,GRAND CONCOURSE/E BURNSIDE AV,GRAND CONCOURSE/E 180 ST,GRAND CONCOURSE/E 182 ST,GRAND CONCOURSE/FIELD PL,GRAND CONCOURSE/E 187 ST,GRAND CONCOURSE/E FORDHAM RD,GRAND CONCOURSE/E KINGSBRIDGE RD,GRAND CONCOURSE/E 196 ST,GRAND CONCOURSE/E 198 ST,GRAND CONCOURSE/BEDFORD PK BL,GRAND CONCOURSE/E 203 ST,GRAND CONCOURSE/E 206 ST,GRAND CONCOURSE/E MOSHOLU PY S,E MOSHOLU PY S/JEROME AV,W MOSHOLU PY S/PAUL AV,SEDGWICK AV/DICKINSON AV,SEDGWICK AV/HILLMAN AV,SEDGWICK AV/VAN CORTLANDT AV W,SEDGWICK AV/STEVENSON PL,SEDGWICK AV/GILES PL,SEDGWICK AV/FT INDEPENDENCE ST,HEATH AV/SUMMIT PL,ALBANY CR/BAILEY AV,W 231 ST/BAILEY AV,W 231 ST/BROADWAY,W 231 ST/KINGSBRIDGE AV,W 231 ST/TIBBETT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bx10,NORWOOD 205 ST STA,RIVERDALE AV/W 263 ST,RIVERDALE AV/W 261 ST,RIVERDALE AV/W 260 ST,RIVERDALE AV/W 259 ST,RIVERDALE AV/W 256 ST,RIVERDALE AV/W 254 ST,HENRY HUDSON PKY W/W 252 ST,HENRY HUDSON PKY W/W 249 ST,HENRY HUDSON PKY W/W 246 ST,HENRY HUDSON PKY W/W 239 ST,HENRY HUDSON PKY W/W 237 ST,HENRY HUDSON PKY W/W 236 ST,HENRY HUDSON PKY W/W 232 ST,HENRY HUDSON PKY/2735 HENRY HUDSON PKY,HENRY HUDSON PKY W/W 227 ST,HENRY HUDSON PKY W/INDEPENDENCE AV,KAPPOCK ST/KNOLLS CRES,KAPPOCK ST/JOHNSON AV,IRWIN AV/JOHNSON AV,W 231 ST/RIVERDALE AV,W 231 ST/CORLEAR AV,W 231 ST/BROADWAY,W 231 ST/BAILEY AV,BAILEY AV/W 233 ST,BAILEY AV/W 238 ST,BAILEY AV/VAN CORTLANDT PK S,VAN CORTLANDT AV W/ORLOFF AV,SEDGWICK AV/STEVENSON PL 2,SEDGWICK AV/DICKINSON AV,PAUL AV/W MOSHOLU PY S,PAUL AV/W 205 ST,PAUL AV/BEDFORD PK BL,BEDFORD PK/JEROME AV,JEROME AV/E 205 ST,JEROME AV/E MOSHOLU PY N,E GUN HILL RD/DEKALB AV,BAINBRIDGE AV/E GUN HILL RD,BAINBRIDGE AV/E 210 ST,BAINBRIDGE AV/VAN CORTLANDT AV E,BAINBRIDGE AV/E 206 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bx10,RIVERDALE 263 ST,E 206 ST/ROCHAMBEAU AVE,E MOSHOLU PY N/VAN CORTLANDT AV E,VAN CORTLANDT AV E/ROCHAMBEAU AV,BAINBRIDGE AV/RESERVOIR OVAL E,BAINBRIDGE AV/E 210 ST,E GUN HILL RD/BAINBRIDGE AV,E GUN HILL RD/DE KALB AV,JEROME AV/E MOSHOLU PY N,JEROME AV/E 205 ST,BEDFORD PK/JEROME AV,PAUL AV/BEDFORD PK BL,PAUL AV/W 205 ST,PAUL AV/W MOSHOLU PY S,SEDGWICK AV/DICKINSON AV,SEDGWICK AV/HILLMAN AV,VAN CORTLANDT AV W/ORLOFF AV,BAILEY AV/VAN CORTLANDT PK S,BAILEY AV/W 238 ST,BAILEY AV/W 233 ST,W 231 ST/BAILEY AV,W 231 ST/BROADWAY,W 231 ST/KINGSBRIDGE AV,W 231 ST/TIBBETT AV,IRWIN AV/JOHNSON AV,KAPPOCK ST/JOHNSON AV,KAPPOCK ST/KNOLLS CRES,HENRY HUDSON PKY E/W 227 ST,HENRY HUDSON PKY E/W 232 ST,HENRY HUDSON PKY E/W 235 ST,HENRY HUDSON PKY E/W 238 ST,HENRY HUDSON PKY E/W 239 ST,HENRY HUDSON PKY E/W 246 ST,HENRY HUDSON PKY E/W 250 ST,HENRY HUDSON PKY E/W 252 ST,RIVERDALE AV/W 254 ST,RIVERDALE AV/W 256 ST,RIVERDALE AV/W 259 ST,RIVERDALE AV/W 260 ST,RIVERDALE AV/W 261 ST,RIVERDALE AV/W 263 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bx11,WASHINGTON HEIGHTS G W BRIDGE,W FARMS RD/WESTCHESTER AV,W FARMS RD/E 167 ST,W FARMS RD/LONGFELLOW AV,E 172 ST/LONGFELLOW AV,E 172 ST/VYSE AV,E 172 ST/SOUTHERN BL,LOUIS NINE BL/E 170 ST,LOUIS NINE BL/BOSTON RD,CLAREMONT PKY/CROTONA PARK E,CLAREMONT PKY/CROTONA AV,CLAREMONT PKY/3 AV,CLAREMONT PKY/WASHINGTON AV,CLAREMONT PKY/WEBSTER AV,CLAY AV/E 171 ST,E 170 ST/TELLER AV,E 170 ST/COLLEGE AV,E 170 ST/SHERIDAN AV,E 170 ST/GRAND CONCOURSE,E 170 ST/WALTON AV,E 170 ST/JEROME AV,W 170 ST/EDWARD L. GRANT HY,W 170 ST/SHAKESPEARE AV,SHAKESPEARE AV/W 169 ST,W 168 ST/WOODYCREST AV,OGDEN AV/W 168 ST,W 169 ST/OGDEN AV,PLIMPTON AV/W 170 ST,PLIMPTON AV/EDWARD L. GRANT HY,EDWARD L GRANT HY/UNIVERSITY AV,W 181 ST/AMSTERDAM AV,W 181 ST/ST NICHOLAS AV,WADSWORTH AV/W 181 ST,W 179 ST/BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bx11,WEST FARMS RD SOUTHERN BL,BROADWAY/W 178 ST,W 181 ST/WADSWORTH AV,W 181 ST/ST NICHOLAS AV,W 181 ST/AMSTERDAM AV,OGDEN AV/UNIVERSITY AV,OGDEN AV/W 171 ST,OGDEN AV/W 169 ST,W 168 ST/NELSON AV,WOODYCREST AV/W 168 ST,SHAKESPEARE AV/W 169 ST,W 170 ST/EDWARD L GRANT HY,W 170 ST/JEROME AV,E 170 ST/WALTON AV,E 170 ST/GRAND CONCOURSE,E 170 ST/GRAND CONCOURSE,E 170 ST/MORRIS AV,E 170 ST/FINDLAY AV,E 170 ST/CLAY AV,CLAY AV/E 171 ST,CLAREMONT PKY/WEBSTER AV,CLAREMONT PKY/WASHINGTON AV,CLAREMONT PKY/3 AV,CLAREMONT PKY/CROTONA AV,CLAREMONT PKY/BOSTON RD,LOUIS NINE BL/E 170 ST,JENNINGS ST/SOUTHERN BL,JENNINGS ST/HOE AV,JENNINGS ST/LONGFELLOW AV,W FARMS RD/BOONE AV,W FARMS RD/LONGFELLOW AV,W FARMS RD/BRYANT AV,WEST FARMS RD/VYSE AV,WEST FARMS RD/HOE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bx12,PELHAM BAY,BROADWAY/ISHAM ST,W 207 ST/10 AV,W FORDHAM RD/CEDAR AV,SEDGWICK AV/WEBB AV,W FORDHAM RD/SEDGWICK AV,W FORDHAM RD/UNIVERSITY AV,W FORDHAM RD/JEROME AV,E FORDHAM RD/GRAND CONCOURSE,E FORDHAM RD/VALENTINE AV,E FORDHAM RD/ELM PL,E FORDHAM RD/3 AV,E FORDHAM RD/BATHGATE AV,E FORDHAM RD/HOFFMAN ST,E FORDHAM RD/CAMBRELENG AV,E FORDHAM RD/SOUTHERN BL,PELHAM PKWY/WHITE PLAINS RD,PELHAM PKWY/MULINER AV,PELHAM PKY/WILLIAMSBRIDGE RD,PELHAM PKWY/NARRAGANSETT AV,PELHAM PKWY/JACOBI HOSP,PELHAM PKWY/EASTCHESTER RD,PELHAM PKWY/STILLWELL AV,PELHAM PKWY/ST PAUL AV,AMENDOLA PL/WESTCHESTER AV,BAY PLAZA BL/OPP STAPLES,BAYCHESTER AV/IFO PC RICHARDS,EDSON AV/BARTOW AV,BAY PLAZA BL/CO-OP CITY BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bx12,SEDWICK AV via PELHAM PKY via FORDHAM RD,BAY PLAZA BL/APPLEBEE'S,BAY PLAZA BL/CO-OP CITY BL,BARTOW AV/CO-OP CITY BL,EDSON AV/BARTOW AV,AMENDOLA PL/WILKINSON AV,PELHAM PKWY/STILLWELL AV,PELHAM PKWY/EASTCHESTER RD,PELHAM PKWY/SEYMOUR AV,PELHAM PKWY/THROOP AV,PELHAM PKWY/WILLIAMSBRIDGE RD,PELHAM PKWY/BRONXWOOD AV,PELHAM PKWY/WHITE PLAINS RD,E FORDHAM RD/SOUTHERN BL,E FORDHAM RD/CAMBERLENG AV,E FORDHAM RD/HOFFMAN ST,E FORDHAM RD/BATHGATE AV,E FORDHAM RD/WEBSTER AV,E FORDHAM RD/DECATUR AV,E FORDHAM RD/VALENTINE AV,E FORDHAM RD/E 190 ST,E FORDHAM RD/JEROME AV,W FORDHAM RD/UNIVERSITY AV,W FORDHAM RD/SEDGWICK AV,W FORDHAM RD/CEDAR AV,W 207 ST/10 AV,BROADWAY/W 207th ST,SEDGWICK AV/WEBB AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bx12-SBS,SELECT BUS BAY PLAZA CO-OP CITY,BROADWAY/ISHAM ST,W 207 ST/10 AV,W FORDHAM RD/CEDAR AV,W FORDHAM RD/ SEDGWICK AV,W FORDHAM RD/UNIVERSITY AV,E FORDHAM RD/WALTON AV,E FORDHAM RD/VALENTINE AV,E FORDHAM RD/3 AV,E FORDHAM RD/SOUTHERN BL,PELHAM PKWY/WHITE PLAINS RD,PELHAM PKWY/WILLIAMSBRIDGE RD,PELHAM PKWY/EASTCHESTER RD,PELHAM PKWY/STILLWELL AV,AMENDOLA PL/WESTCHESTER AV,BAYCHESTER AV/N.E. THRUWAY EXIT,Mall/at bay Plaza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bx12-SBS,SELECT BUS BROADWAY INWOOD,BAY PLAZA BL/IFO JC PENNY,BAY PLAZA BL/CO-OP CITY BL,BARTOW AV/CO-OP CITY BL,EDSON AV/BARTOW AV,AMENDOLA PL/WILKINSON AV,PELHAM PKWY/STILLWELL AV,PELHAM PKWY/EASTCHESTER RD,PELHAM PKWY/WILLIAMSBRIDGE RD,PELHAM PKWY/WHITE PLAINS RD,E FORDHAM RD/SOUTHERN BL,E FORDHAM RD/WEBSTER AV,E FORDHAM RD/VALENTINE AV,E FORDHAM RD/ JEROME AV,W FORDHAM RD/UNIVERSITY AV,W FORDHAM RD/SEDGWICK AV,W FORDHAM RD/CEDAR AV,W 207 ST/10 AV,BROADWAY/W 207th ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bx13,RIVER AV-149 ST,179 ST/BROADWAY,W 181 ST/WADSWORTH AV,W 181 ST/ST NICHOLAS AV,W 181 ST/AMSTERDAM AV,OGDEN AV/UNIVERSITY AV,OGDEN AV/W 171 ST,OGDEN AV/W 169 ST,OGDEN AV/W 168 ST,OGDEN AV/W 167 ST,OGDEN AV/W 166 ST,OGDEN AV/W 165 ST,OGDEN AV/W 164 ST,OGDEN AV/W 162 ST,JEROME AV/E 161 ST,E 161 ST/RIVER AV,E 161 ST/GERARD AV,E 161 ST/SHERMAN AV,E 161 ST/RIVER AV,E 161 ST/CONCOURSE VILLAGE E,RIVER AV/E 157 ST,E 161 ST/PARK AV,E 161 ST/MELROSE AV,RIVER AV/E 151 ST,ELTON AV/E 161 ST,RIVER AV/E 149 ST,E 163 ST/ 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bx13,WASHINGTON HEIGHTS G.W. BRIDGE,E 163 ST/3 AV,ELTON AV/E 161 ST,E 161 ST/MELROSE AV,RIVER AV/E 150 ST,E 161 ST/PARK AV,E 161 ST/MORRIS AV,RIVER AV/E 151 ST,E 161 ST/SHERMAN AV,RIVER AV/E 157 ST,E 161 ST/RIVER AV,JEROME AV/W 161 ST,OGDEN AV/W 162 ST,OGDEN AV/W 164 ST,OGDEN AV/W 165 ST,OGDEN AV/W 166 ST,OGDEN AV/W 167 ST,OGDEN AV/W 168 ST,W 169 ST/OGDEN AV,PLIMPTON AV/W 170 ST,PLIMPTON AV/EDWARD L. GRANT HY,EDWARD L GRANT HY/UNIVERSITY AV,W 181 ST/AMSTERDAM AV,W 181 ST/ST NICHOLAS AV,WADSWORTH AV/W 181 ST,W 179 ST/BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bx15,FORDHAM PLZ via 3 AV,ST CLAIRE PL/W 125 ST,W 125 ST/OLD BROADWAY,W 125 ST/AMSTERDAM AV,W 125 ST/MORNINGSIDE AV,W 125 ST/ST NICHOLAS AV,W 125 ST/FRED DOUGLASS BL,W 125 ST/ADAM C POWELL BL,W 125 ST/MALCOLM X  BL,E 125 ST/5 AV,E 125 ST/MADISON AV,E 125 ST/PARK AV,E 125 ST/LEXINGTON AV,E 125 ST/3 AV,E 125 ST/2 AV,E 125 ST/1 AV,WILLIS AV/E 138 ST,WILLIS AV/E 140 ST,WILLIS AV/E 142 ST,WILLIS AV/E 144 ST,WILLIS AV/E 146 ST,3 AV/WESTCHESTER AV,3 AV/E 152 ST,3 AV/E 153 ST,3 AV/E 157 ST,3 AV/E 158 ST,3 AV/E 161 ST,3 AV/E 163 ST,3 AV/E 166 ST,3 AV/E 168 ST,3 AV/E 169 ST,3 AV/ST PAULS PL,3 AV/CLAREMONT PKY,3 AV/E 173 ST,3 AV/E 174 ST,3 AV/E 175 ST,3 AV/E TREMONT AV,3 AV/E 180 ST,3 AV/E 184 ST,3 AV/E 187 ST,3 AV/E 188 ST,3 AV/E 189 ST,3 AV/E FORDHAM RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bx15,WEST HARLEM 12 AV via 3 AV via 125 ST,3 AV/E FORDHAM RD,3 AV/E 188 ST,3 AV/WASHINGTON AV,3 AV/E 183 ST,3 AV/E 180 ST,3 AV/E TREMONT AV,3 AV/CROSS BRONX EXP,3 AV/E 172 ST,3 AV/CLAREMONT PY,3 AV/ST PAULS PL,3 AV/E 169 ST,3 AV/E 168 ST,3 AV/E 166 ST,3 AV/E 163 ST,3 AV/E 161 ST,3 AV/E 158 ST,3 AV/E 156 ST,3 AV/E 154 ST,3 AV/E 150 ST,WILLIS AV/E 148 ST,WILLIS AV/E 144 ST,WILLIS AV/E 140 ST,E 138 ST/WILLIS AV,E 138 ST/ALEXANDER AV,E 138 ST/3 AV,LINCOLN AV/E 136 ST,LINCOLN AV/BRUCKNER Bl,E 128 ST/3 AV,2 AV/E 126 ST,E 125 ST/2 AV,E 125 ST/3 AV,E 125 ST/LEXINGTON AV,E 125 ST/PARK AV,E 125 ST/MADISON AV,W 125 ST/5 AV,W 125 ST/MALCOLM X BL,W 125 ST/ADAM C POWELL BL,W 125 ST/FRED DOUGLASS BL,W 125 ST/ST NICHOLAS AV,W 125 ST/MORNINGSIDE AV,W 125 ST/AMSTERDAM AV,W 125 ST/OLD BROADWAY,W 125 ST/BROADWAY,W 125 ST/ST CLAIRE PL,W 125 ST/12 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bx16,NORWOOD 205 ST STA via MUNDY LA,ROPES AV/BOSTON RD,BOSTON RD/ROPES AV,BOSTON RD/PROVOST AV,DYRE AV/BOSTON RD,DYRE AV/LIGHT ST,E 233 ST/DYRE AV,E 233 ST/HARPER AV,E 233 ST/SETON AV,E 233 ST/MURDOCK AV,BAYCHESTER AV/STRANG AV,BAYCHESTER AV/EDENWALD AV,BAYCHESTER AV/PITMAN AV,PITMAN AV/HILL AV,SANFORD BL/S 11 AV,MUNDY LA/NEREID AV,NEREID AV/SETON AV,NEREID AV/MONTICELLO AV,NEREID AV/MURDOCK AV,NEREID AV/BAYCHESTER AV,NEREID AV/BRUNER AV,NEREID AV/BYRON AV,NEREID AV/WHITE PLAINS RD,NEREID AV/CARPENTER AV,WEBSTER AV/E 240 ST,WEBSTER AV/E 235 ST,WEBSTER AV/E 233 ST,E 233 ST/KATONAH AV,E 233 ST/KEPLER AV,E 233 ST/ONEIDA AV,E 233 ST/NAPIER AV,JEROME AV/E 233 ST,BAINBRIDGE AV/JEROME AV,BAINBRIDGE AV/E 212 ST,BAINBRIDGE AV/E GUN HILL RD,BAINBRIDGE AV/E 210 ST,BAINBRIDGE AV/VAN CORTLANDT AV E,BAINBRIDGE AV/E 206 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bx16,PELHAM ROPES AV via MUNDY LA,E 206 ST/ROCHAMBEAU AV,E MOSHOLU PY N/VAN CORTLANDT AV E,VAN CORTLANDT AV E/ROCHAMBEAU AV,BAINBRIDGE AV/RESERVOIR OVAL E,BAINBRIDGE AV/E 210 ST,BAINBRIDGE AV/E 212 ST,BAINBRIDGE AV/JEROME AV,E 233 ST/JEROME AV,E 233 ST/VAN CORTLANDT PK E,E 233 ST/NAPIER AV,E 233 ST/ONEIDA AV,E 233 ST/KEPLER AV,E 233 ST/KATONAH AV,WEBSTER AV/E 233 ST,WEBSTER AV/E 235 ST,WEBSTER AV/NEREID AV,NEREID AV/CARPENTER AV,NEREID AV/WHITE PLAINS RD,NEREID AV/BYRON AV,NEREID AV/BRUNER AV,NEREID AV/EDSON AV,NEREID AV/MURDOCK AV,NEREID AV/MUNDY LA,MUNDY LA/PITMAN AV,PITMAN AV/MURDOCK AV,BAYCHESTER AV/PITMAN AV,BAYCHESTER AV/EDENWALD AV,BAYCHESTER AV/STRANG AV,E 233 ST/BAYCHESTER AV,E 233 ST/MURDOCK AV,E 233 ST/SETON AV,E 233 ST/SECOR AV,DYRE AV/LIGHT ST,DYRE AV/BOSTON RD,BOSTON RD/CONNER ST,MC OWEN AV/BOSTON RD,HOLLERS AV/ROPES AV,ROPES AV/BOSTON RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bx17,FORDHAM PLAZA,E 135 ST/ST ANN'S AV,ST. ANN'S AV/E 138 ST,ST. ANN'S AV/E 140 ST,ST. ANN'S AV/ST. MARY'S ST,ST. ANN'S AV/E 146 ST,E 149 ST/ST ANN'S AV,E 149 ST/TRINITY AV,E 149 ST/JACKSON AV,E 149 ST/WALES AV,PROSPECT AV/E 149 ST,PROSPECT AV/KELLY ST,PROSPECT AV/E 156 ST,PROSPECT AV/WESTCHESTER AV,PROSPECT AV/E 163 ST,PROSPECT AV/E 165 ST,PROSPECT AV/E 166 ST,PROSPECT AV/HOME ST,PROSPECT AV/E 169 ST,PROSPECT AV/RITTER PL,PROSPECT AV/BOSTON RD,CROTONA AV/CLAREMONT PY,CROTONA AV/CROTONA PK BLDG,CROTONA AV/E 175 ST,CROTONA AV/E 176 ST,CROTONA AV/E TREMONT AV,CROTONA AV/E 179 ST,CROTONA AV/E 180 ST,CROTONA AV/E 182 ST,CROTONA AV/E 183 ST,CROTONA AV/E 187 ST,CROTONA AV/E FORDHAM RD,E FORDHAM RD/CAMBERLENG AV,E FORDHAM RD/HOFFMAN ST,E FORDHAM RD/BATHGATE AV,WASHINGTON AV/E FORDHAM RD,FORDHAM PLAZA/BUS TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bx17,PORT MORRIS 135 ST,FORDHAM PLAZA/BUS TERMINAL,E FORDHAM RD/BATHGATE AV,E FORDHAM RD/HOFFMAN ST,E FORDHAM RD/CAMBRELENG AV,CROTONA AV/E 189 ST,CROTONA AV/E 187 ST,CROTONA AV/E 183 ST,CROTONA AV/E 182 ST,CROTONA AV/E 180 ST,CROTONA AV/E 179 ST,CROTONA AV/TREMONT AV,CROTONA AV/E 176 ST,CROTONA AV/E 175 ST,CROTONA PK/CROTONA PK BLDG,CROTONA AV/CLAREMONT PY,PROSPECT AV/BOSTON RD,PROSPECT AV/RITTER PL,PROSPECT AV/E 169 ST,PROSPECT AV/HOME ST,PROSPECT AV/E 166 ST,PROSPECT AV/E 165 ST,PROSPECT AV/E 163 ST,PROSPECT AV/WESTCHESTER AV,PROSPECT AV/E 156 ST,PROSPECT AV/E 152 ST,PROSPECT AV/E 149 ST,E 149 ST/TINTON AV,E 149 ST/CONCORD AV,E 149 ST/TRINITY AV,ST. ANN'S AV/E 149 ST,ST. ANN'S AV/E 146 ST,ST. ANN'S AV/E 143 ST,ST. ANN'S AV/E 141 ST,E 138 ST/ST ANNS AV,E 138 ST/CYPRESS AV,E 138 ST/JACKSON AV,E 135 ST/CYPRESS AV,E 135 ST/ST ANN'S AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bx18,170 ST CONCOURSE,SEDGWICK AV/HARLEM RIVER BRIDGE,SEDGWICK AV/W TREMONT AV,W TREMONT AV/MONTGOMERY AV,UNIVERSITY AV/W TREMONT AV,UNIVERSITY AV/ W 176 ST,UNIVERSITY AV/W 176 ST,MACOMBS RD/NELSON AV,MACOMBS RD/FEATHERBED LA,MACOMBS RD/GOBLE PL,MACOMBS RD/INWOOD AV,W 170 ST/JEROME AV,E 170 ST/WALTON AV,E 170 ST/GRAND CONCOURSE,E 170 ST/GRAND CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
